Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.044915,0.0026998,0.042656,0,0,0,0.42918,0.00069728,-8.7472E-07,-1.0088E-07,0.0010776,-1.9163E-07,0.0012634,0,0,0,0,0,0,package://错的电机质量参数/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://错的电机质量参数/meshes/base_link.STL,,大臂底板-1;连接块-8;连接块-2;连接块-5;大臂支撑板-2;大臂支撑板-1;连接块-6;连接块-3;连接块-7;光轴支撑板内-2;光轴支撑板内-1;打印件垫块-1;法兰轴承内8外16-2;m6塞打15长-1;RS03-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.00039392,0.25177,-0.00092607,0,0,0,0.33673,0.0024164,3.3204E-06,-1.6929E-08,0.0001052,-2.8001E-11,0.0024809,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link1.STL,,主臂连接板-1;主臂连接板第二端-1;连接块21-4;大臂支撑板23-4;连接块21-7;大臂支撑板23-2;连接块21-1;连接块21-11;连接块21-5;大臂支撑板23-3;连接块21-3;连接块21-6;大臂支撑板23-1;连接块21-2;交叉滚子轴承-1;cnc交滚链接-1;打印件新臂-1;dm_4340__3d20240822_1(2)(1)-1,坐标系j1,基准轴j1,j1,revolute,0,0,0.07,1.5708,0,-1.5708,base_link,0,0,-1,30,3.14,-3.14,3.14,,,,,,,,
Link2,-0.00035563,0.20343,-0.00013617,0,0,0,0.31686,0.00080063,1.0493E-06,4.1483E-09,9.0373E-05,-1.6413E-08,0.00083029,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link2.STL,0.79216,0.81961,0.93333,0.25,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link2.STL,,小臂板材另一-1;小臂板材-1;连接块21-12;连接块21-13;支撑板22-2;支撑板22-4;连接块21-15;连接块21-10;支撑板22-3;连接块21-9;支撑板22-1;连接块21-14;打印件端头1-1;法兰轴承内8外16-3;打印件连轴-2;打印件端头-1;dm_4340__3d20240822_1(2)(1)-2,坐标系j2,基准轴j2,j2,revolute,-0.0005,0.35,0,0,0,0,Link1,0,0,-1,10,3.14,-3.14,3.14,,,,,,,,
Link3,0.002693,0.11635,0.0019852,0,0,0,0.24563,0.00013404,1.2628E-06,6.3612E-09,0.0001778,-1.8653E-10,0.00013348,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://错的电机质量参数/meshes/Link3.STL,,端头吸盘连接板1-1;吸盘连接板-1;转接头-1;80直径无空腔吸盘-2;端头吸盘连接板-2;40连接块-1;40连接块-2,坐标系j3,基准轴j3,j3,revolute,-0.00035714,0.25,-0.002625,0,0,0,Link2,0,0,-1,10,3.14,-3.14,3.14,,,,,,,,
tool_Link,0,0,0,0,0,0,0.001,1E-06,1E-06,0,1E-06,0,0,0,0,0,0,0,0,package://错的电机质量参数/meshes/tool_Link.STL,1,1,1,1,0,0,0,0,0,0,package://错的电机质量参数/meshes/tool_Link.STL,,,坐标系tool,基准轴tool,j_tool,fixed,0.0034791,0.14696,-2.5E-05,0,0,0,Link3,0,0,0,,,,,,,,,,,,
