Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.033981,0.0037107,0.032623,0,0,0,0.31404,0.00054518,-8.8651E-07,1.2762E-20,0.00099237,3.2702E-08,0.0011813,0,0,0,0,0,0,package://armurdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://armurdf/meshes/base_link.STL,,大臂底板-1;连接块-8;连接块-2;连接块-5;大臂支撑板-2;大臂支撑板-1;连接块-6;连接块-3;连接块-7;光轴支撑板内-2;光轴支撑板内-1;打印件垫块-1;法兰轴承内8外16-2;m6塞打15长-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.00028732,0.20112,-0.0029268,0,0,0,0.22217,0.0023759,3.3021E-06,-3.9537E-21,6.4486E-05,-5.53E-19,0.0024336,0,0,0,0,0,0,package://armurdf/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://armurdf/meshes/Link1.STL,,主臂连接板-1;主臂连接板第二端-1;连接块21-4;大臂支撑板23-4;连接块21-7;大臂支撑板23-2;连接块21-1;连接块21-11;连接块21-5;大臂支撑板23-3;连接块21-3;连接块21-6;大臂支撑板23-1;连接块21-2;交叉滚子轴承-1;cnc交滚链接-1;打印件新臂-1,坐标系j1,基准轴j1,j1,revolute,0,0,0.07,1.5708,0,-1.5708,base_link,0,0,-1,30,3.14,-3.14,3.14,,,,,,,,
Link2,-0.00036872,0.17712,-0.0096725,0,0,0,0.2023,0.00075992,1.0161E-06,4.134E-20,4.9865E-05,5.7918E-19,0.00078302,0,0,0,0,0,0,package://armurdf/meshes/Link2.STL,0.79216,0.81961,0.93333,0.25,0,0,0,0,0,0,package://armurdf/meshes/Link2.STL,,小臂板材另一-1;小臂板材-1;连接块21-12;连接块21-13;支撑板22-2;支撑板22-4;连接块21-15;连接块21-10;支撑板22-3;连接块21-9;支撑板22-1;连接块21-14;打印件端头1-1;法兰轴承内8外16-3;打印件连轴-2;打印件端头-1,坐标系j2,基准轴j2,j2,revolute,-0.0005,0.35,0,0,0,0,Link1,0,0,-1,10,3.14,-3.14,3.14,,,,,,,,
Link3,0.002693,0.11635,0.0019852,0,0,0,0.24563,0.00013404,1.2628E-06,6.3612E-09,0.0001778,-1.8653E-10,0.00013348,0,0,0,0,0,0,package://armurdf/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://armurdf/meshes/Link3.STL,,端头吸盘连接板1-1;吸盘连接板-1;转接头-1;80直径无空腔吸盘-2;端头吸盘连接板-2;40连接块-1;40连接块-2,坐标系j3,基准轴j3,j3,revolute,-0.000357142857063231,0.24999974489785,-0.00262500000000032,0,0,0,Link2,0,0,-1,10,3.14,-3.14,3.14,,,,,,,,
tool_Link,0,0,0,0,0,0,0.0001,1E-06,1E-06,0,1E-06,0,0,0,0,0,0,0,0,package://armurdf/meshes/tool_Link.STL,1,1,1,1,0,0,0,0,0,0,package://armurdf/meshes/tool_Link.STL,,,坐标系tool,基准轴tool,j_tool,fixed,0.0034791,0.14696,-2.5E-05,0,0,0,Link3,0,0,0,,,,,,,,,,,,
